% time	cellId	IMSI	RNTI	rsrp	sinr
0.198214	1	1	1	5.4396e-10	1.14677e+06
0.198214	1	2	2	1.07682e-09	2.27013e+06
0.199214	1	1	1	5.4396e-10	1.14677e+06
0.199214	1	2	2	1.07682e-09	2.27013e+06
0.200214	1	1	1	5.4396e-10	1.14677e+06
0.200214	1	2	2	1.07682e-09	2.27013e+06
0.201214	1	1	1	5.4396e-10	1.14677e+06
0.201214	1	2	2	1.07682e-09	2.27013e+06
0.202214	1	1	1	5.4396e-10	1.14677e+06
0.202214	1	2	2	1.07682e-09	2.27013e+06
0.203214	1	1	1	5.4396e-10	1.14677e+06
0.203214	1	2	2	1.07682e-09	2.27013e+06
0.204214	1	1	1	5.4396e-10	1.14677e+06
0.204214	1	2	2	1.07682e-09	2.27013e+06
0.205214	1	1	1	5.4396e-10	1.14677e+06
0.205214	1	2	2	1.07682e-09	2.27013e+06
0.206214	1	1	1	5.4396e-10	1.14677e+06
0.206214	1	2	2	1.07682e-09	2.27013e+06
0.207214	1	1	1	5.4396e-10	1.14677e+06
0.207214	1	2	2	1.07682e-09	2.27013e+06
0.208214	1	1	1	5.4396e-10	1.14677e+06
0.208214	1	2	2	1.07682e-09	2.27013e+06
0.209214	1	1	1	5.4396e-10	1.14677e+06
0.209214	1	2	2	1.07682e-09	2.27013e+06
0.210214	1	1	1	5.4396e-10	1.14677e+06
0.210214	1	2	2	1.07682e-09	2.27013e+06
0.211214	1	1	1	5.4396e-10	1.14677e+06
0.211214	1	2	2	1.07682e-09	2.27013e+06
0.212214	1	1	1	5.4396e-10	1.14677e+06
0.212214	1	2	2	1.07682e-09	2.27013e+06
0.213214	1	1	1	5.4396e-10	1.14677e+06
0.213214	1	2	2	1.07682e-09	2.27013e+06
0.214214	1	1	1	5.4396e-10	1.14677e+06
0.214214	1	2	2	1.07682e-09	2.27013e+06
0.215214	1	1	1	5.4396e-10	1.14677e+06
0.215214	1	2	2	1.07682e-09	2.27013e+06
0.216214	1	1	1	5.4396e-10	1.14677e+06
0.216214	1	2	2	1.07682e-09	2.27013e+06
0.217214	1	1	1	5.4396e-10	1.14677e+06
0.217214	1	2	2	1.07682e-09	2.27013e+06
0.218214	1	1	1	5.4396e-10	1.14677e+06
0.218214	1	2	2	1.07682e-09	2.27013e+06
0.219214	1	1	1	5.4396e-10	1.14677e+06
0.219214	1	2	2	1.07682e-09	2.27013e+06
0.220214	1	1	1	5.4396e-10	1.14677e+06
0.220214	1	2	2	1.07682e-09	2.27013e+06
0.221214	1	1	1	5.4396e-10	1.14677e+06
0.221214	1	2	2	1.07682e-09	2.27013e+06
0.222214	1	1	1	5.4396e-10	1.14677e+06
0.222214	1	2	2	1.07682e-09	2.27013e+06
0.223214	1	1	1	5.4396e-10	1.14677e+06
0.223214	1	2	2	1.07682e-09	2.27013e+06
0.224214	1	1	1	5.4396e-10	1.14677e+06
0.224214	1	2	2	1.07682e-09	2.27013e+06
